"","Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9"
"1","Dispuesto","Casado","Tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"2","No_dispuesto","Casado","Tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"3","Dispuesto","Soltero","Tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"4","No_dispuesto","Soltero","Tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"5","Dispuesto","Casado","No_tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"6","No_dispuesto","Casado","No_tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"7","Dispuesto","Soltero","No_tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"8","No_dispuesto","Soltero","No_tiene","Predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"9","Dispuesto","Casado","Tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"10","No_dispuesto","Casado","Tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"11","Dispuesto","Soltero","Tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"12","No_dispuesto","Soltero","Tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"13","Dispuesto","Casado","No_tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"14","No_dispuesto","Casado","No_tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"15","Dispuesto","Soltero","No_tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"16","No_dispuesto","Soltero","No_tiene","No_predispuesto","Total","Realiza","Alta","Varias_salidas","Local"
"17","Dispuesto","Casado","Tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"18","No_dispuesto","Casado","Tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"19","Dispuesto","Soltero","Tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"20","No_dispuesto","Soltero","Tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"21","Dispuesto","Casado","No_tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"22","No_dispuesto","Casado","No_tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"23","Dispuesto","Soltero","No_tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"24","No_dispuesto","Soltero","No_tiene","Predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"25","Dispuesto","Casado","Tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"26","No_dispuesto","Casado","Tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"27","Dispuesto","Soltero","Tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"28","No_dispuesto","Soltero","Tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"29","Dispuesto","Casado","No_tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"30","No_dispuesto","Casado","No_tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"31","Dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"32","No_dispuesto","Soltero","No_tiene","No_predispuesto","Parcial","Realiza","Alta","Varias_salidas","Local"
"33","Dispuesto","Casado","Tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"34","No_dispuesto","Casado","Tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"35","Dispuesto","Soltero","Tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"36","No_dispuesto","Soltero","Tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"37","Dispuesto","Casado","No_tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"38","No_dispuesto","Casado","No_tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"39","Dispuesto","Soltero","No_tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"40","No_dispuesto","Soltero","No_tiene","Predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"41","Dispuesto","Casado","Tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"42","No_dispuesto","Casado","Tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"43","Dispuesto","Soltero","Tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"44","No_dispuesto","Soltero","Tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"45","Dispuesto","Casado","No_tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"46","No_dispuesto","Casado","No_tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"47","Dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"48","No_dispuesto","Soltero","No_tiene","No_predispuesto","Nulo","Realiza","Alta","Varias_salidas","Local"
"49","Dispuesto","Casado","Tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"50","No_dispuesto","Casado","Tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"51","Dispuesto","Soltero","Tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"52","No_dispuesto","Soltero","Tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"53","Dispuesto","Casado","No_tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"54","No_dispuesto","Casado","No_tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"55","Dispuesto","Soltero","No_tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"56","No_dispuesto","Soltero","No_tiene","Predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"57","Dispuesto","Casado","Tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"58","No_dispuesto","Casado","Tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"59","Dispuesto","Soltero","Tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"60","No_dispuesto","Soltero","Tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"61","Dispuesto","Casado","No_tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"62","No_dispuesto","Casado","No_tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"63","Dispuesto","Soltero","No_tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"64","No_dispuesto","Soltero","No_tiene","No_predispuesto","Total","No_realiza","Alta","Varias_salidas","Local"
"65","Dispuesto","Casado","Tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"66","No_dispuesto","Casado","Tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"67","Dispuesto","Soltero","Tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"68","No_dispuesto","Soltero","Tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"69","Dispuesto","Casado","No_tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
"70","No_dispuesto","Casado","No_tiene","Predispuesto","Parcial","No_realiza","Alta","Varias_salidas","Local"
